hsP38MAPK 15 20 0 logfc=0.387112645290068,adjpval=0.00446729113941872
hsP38MAPK 20 25 0 logfc=1.16633004524524,adjpval=5.55035083011372e-19
hsP38MAPK 25 30 0 logfc=0.838918919663525,adjpval=0.00153997393617678
hsP38MAPK 30 35 0 logfc=0.738840800878553,adjpval=2.44857691378473e-08
hsP38MAPK 35 40 0 logfc=0.850965404682397,adjpval=0.00133388042758522
hsP38MAPK 40 45 0 logfc=0.885173251751053,adjpval=1.88673961384012e-11
hsP38MAPK 45 50 0 logfc=1.11954476128709,adjpval=7.55473621931097e-18
hsP38MAPK 50 55 0 logfc=0.856284818431932,adjpval=8.5131672038266e-11
hsP38MAPK 55 60 0 logfc=1.09943494996597,adjpval=3.12815430788712e-17
hsP38MAPK 60 65 3 logfc=1.0332397151819,adjpval=1.83515179389266e-15
hsP38MAPK 65 70 0 logfc=1.13680265592423,adjpval=2.59837614630432e-18
hsP38MAPK 70 75 1 logfc=1.09496949939547,adjpval=5.19032506335168e-17
hsP38MAPK 75 80 3 logfc=0.520226888696528,adjpval=0.000110439835058045
hsP38MAPK 80 85 1 logfc=0.761098961000419,adjpval=1.06554258550237e-08
hsP38MAPK 85 90 0 logfc=0.90297770359868,adjpval=6.37612678246314e-12
hsP38MAPK 90 95 0 logfc=0.989489724179041,adjpval=3.18568321807859e-14
hsP38MAPK 95 100 0 logfc=0.745451195063092,adjpval=1.69380380657172e-08
hsP38MAPK 100 105 1 logfc=-0.787700267256898,adjpval=2.498402981542e-09
hsP38MAPK 105 110 0 logfc=-0.552389390316176,adjpval=4.33952017975851e-05
hsP38MAPK 110 115 0 logfc=-0.521750947768876,adjpval=0.000102100757290086
hsP38MAPK 115 120 0 logfc=-1.3041511942475,adjpval=1.87877229803744e-23
hsP38MAPK 120 125 4 logfc=-1.09031497576505,adjpval=8.93676595690418e-17
hsP38MAPK 125 130 0 logfc=-0.313959156269126,adjpval=0.0213819118583489
hsBIOPEPTIDES 0 5 0 logfc=0.761547350660062,adjpval=7.8501541605419e-09
hsBIOPEPTIDES 5 10 0 logfc=0.680273935489917,adjpval=2.97891400937195e-07
hsBIOPEPTIDES 10 15 0 logfc=1.13751612800512,adjpval=6.74984438018784e-18
hsBIOPEPTIDES 15 20 0 logfc=0.7638558042534,adjpval=7.45116353129904e-09
hsBIOPEPTIDES 20 25 0 logfc=0.903893464163183,adjpval=8.20200788825564e-12
hsBIOPEPTIDES 25 30 0 logfc=0.452500068996062,adjpval=0.000800532250792698
hsBIOPEPTIDES 30 35 0 logfc=1.16633004524524,adjpval=5.55035083011372e-19
hsBIOPEPTIDES 35 40 2 logfc=0.828115259569088,adjpval=2.68289326339583e-10
hsBIOPEPTIDES 40 45 0 logfc=1.04175060201687,adjpval=5.81879410549163e-05
hsBIOPEPTIDES 45 50 0 logfc=0.850965404682397,adjpval=0.00133388042758522
hsBIOPEPTIDES 50 55 1 logfc=0.938033241498731,adjpval=1.02047921902576e-12
hsBIOPEPTIDES 55 60 3 logfc=1.00507670353337,adjpval=0.000146915641506581
hsBIOPEPTIDES 60 65 1 logfc=0.803408104514147,adjpval=8.04736903017311e-10
hsBIOPEPTIDES 65 70 3 logfc=1.0332397151819,adjpval=1.83515179389266e-15
hsBIOPEPTIDES 70 75 0 logfc=1.13680265592423,adjpval=2.59837614630432e-18
hsBIOPEPTIDES 75 80 2 logfc=0.709391004114945,adjpval=0.00737231336083581
hsBIOPEPTIDES 80 85 0 logfc=0.661616824544653,adjpval=5.05056086398046e-07
hsBIOPEPTIDES 85 90 0 logfc=-0.865394277082671,adjpval=0.00120698326714683
hsBIOPEPTIDES 90 95 0 logfc=-0.954456084508155,adjpval=0.000312815734105553
hsBIOPEPTIDES 95 100 0 logfc=-0.448391751196675,adjpval=0.000733372817963019
hsBIOPEPTIDES 100 105 0 logfc=-0.459848170015013,adjpval=0.000591956172912569
hsPYK2 0 5 0 logfc=0.756412442020464,adjpval=1.25252836615106e-08
hsPYK2 5 10 0 logfc=0.756412442020464,adjpval=1.25252836615106e-08
hsPYK2 10 15 0 logfc=0.680273935489917,adjpval=2.97891400937195e-07
hsPYK2 15 20 0 logfc=1.13751612800512,adjpval=6.74984438018784e-18
hsPYK2 20 25 4 logfc=0.591020339409133,adjpval=9.14195164681682e-06
hsPYK2 25 30 0 logfc=0.694123421838254,adjpval=2.03400033073127e-07
hsPYK2 30 35 0 logfc=1.16633004524524,adjpval=5.55035083011372e-19
hsPYK2 35 40 0 logfc=1.04175060201687,adjpval=5.81879410549163e-05
hsPYK2 40 45 0 logfc=0.61111245811997,adjpval=5.83727156622177e-06
hsPYK2 45 50 0 logfc=0.850965404682397,adjpval=0.00133388042758522
hsPYK2 50 55 1 logfc=0.938033241498731,adjpval=1.02047921902576e-12
hsPYK2 55 60 0 logfc=0.847656139926249,adjpval=1.09928108527605e-10
hsPYK2 60 65 3 logfc=1.00507670353337,adjpval=0.000146915641506581
hsPYK2 65 70 1 logfc=0.803408104514147,adjpval=8.04736903017311e-10
hsPYK2 70 75 0 logfc=1.09943494996597,adjpval=3.12815430788712e-17
hsPYK2 75 80 3 logfc=1.0332397151819,adjpval=1.83515179389266e-15
hsPYK2 80 85 3 logfc=-0.843299308568916,adjpval=1.4655944688104e-10
hsPYK2 85 90 0 logfc=-0.448391751196675,adjpval=0.000733372817963019
hsPYK2 90 95 0 logfc=-0.459848170015013,adjpval=0.000591956172912569
hsAT1R 0 5 0 logfc=0.761547350660062,adjpval=7.8501541605419e-09
hsAT1R 5 10 0 logfc=0.680273935489917,adjpval=2.97891400937195e-07
hsAT1R 10 15 0 logfc=1.13751612800512,adjpval=6.74984438018784e-18
hsAT1R 15 20 0 logfc=0.387112645290068,adjpval=0.00446729113941872
hsAT1R 20 25 0 logfc=0.694123421838254,adjpval=2.03400033073127e-07
hsAT1R 25 30 0 logfc=1.16633004524524,adjpval=5.55035083011372e-19
hsAT1R 30 35 0 logfc=1.04175060201687,adjpval=5.81879410549163e-05
hsAT1R 35 40 1 logfc=0.938033241498731,adjpval=1.02047921902576e-12
hsAT1R 40 45 0 logfc=0.847656139926249,adjpval=1.09928108527605e-10
hsAT1R 45 50 1 logfc=0.803408104514147,adjpval=8.04736903017311e-10
hsAT1R 50 55 0 logfc=1.09943494996597,adjpval=3.12815430788712e-17
hsAT1R 55 60 3 logfc=1.0332397151819,adjpval=1.83515179389266e-15
hsAT1R 60 65 3 logfc=-0.843299308568916,adjpval=1.4655944688104e-10
hsAT1R 65 70 0 logfc=-0.448391751196675,adjpval=0.000733372817963019
hsAT1R 70 75 0 logfc=-0.459848170015013,adjpval=0.000591956172912569
hsTPO 0 5 0 logfc=0.734964487059889,adjpval=0.0216751941431391
hsTPO 5 10 0 logfc=1.16633004524524,adjpval=5.55035083011372e-19
hsTPO 10 15 2 logfc=0.828115259569088,adjpval=2.68289326339583e-10
hsTPO 15 20 0 logfc=1.04175060201687,adjpval=5.81879410549163e-05
hsTPO 20 25 1 logfc=0.938033241498731,adjpval=1.02047921902576e-12
hsTPO 25 30 2 logfc=1.00160485031305,adjpval=0.000136521800869637
hsTPO 30 35 1 logfc=0.744383849599987,adjpval=1.71531297011381e-08
hsTPO 35 40 1 logfc=0.451428062606784,adjpval=0.000794771820690341
hsTPO 40 45 3 logfc=1.00507670353337,adjpval=0.000146915641506581
hsTPO 45 50 1 logfc=0.803408104514147,adjpval=8.04736903017311e-10
hsTPO 50 55 1 logfc=1.23453677322762,adjpval=1.51188561550432e-06
hsTPO 55 60 3 logfc=1.0332397151819,adjpval=1.83515179389266e-15
hsTPO 60 65 0 logfc=1.13680265592423,adjpval=2.59837614630432e-18
hsTPO 65 70 2 logfc=0.709391004114945,adjpval=0.00737231336083581
hsTPO 70 75 0 logfc=0.661616824544653,adjpval=5.05056086398046e-07
hsTPO 75 80 4 logfc=-0.376230213926807,adjpval=0.00515593226282692
hsTPO 80 85 3 logfc=-0.843299308568916,adjpval=1.4655944688104e-10
hsTPO 85 90 0 logfc=-0.882200537754312,adjpval=0.000843214859480652
hsTPO 90 95 0 logfc=-0.459848170015013,adjpval=0.000591956172912569
hsTPO 95 100 0 logfc=-1.20967625555191,adjpval=4.90180920050763e-06
hsFCER1 0 5 0 logfc=0.538402474691909,adjpval=6.16478162602895e-05
hsFCER1 5 10 0 logfc=0.680273935489917,adjpval=2.97891400937195e-07
hsFCER1 10 15 0 logfc=1.13751612800512,adjpval=6.74984438018784e-18
hsFCER1 15 20 0 logfc=0.387112645290068,adjpval=0.00446729113941872
hsFCER1 20 25 0 logfc=1.01934620332321,adjpval=1.12945309119796e-14
hsFCER1 25 30 0 logfc=1.16633004524524,adjpval=5.55035083011372e-19
hsFCER1 30 35 0 logfc=0.981776806990087,adjpval=7.35198000930509e-14
hsFCER1 35 40 0 logfc=1.04175060201687,adjpval=5.81879410549163e-05
hsFCER1 40 45 1 logfc=0.938033241498731,adjpval=1.02047921902576e-12
hsFCER1 45 50 1 logfc=0.675041742008089,adjpval=5.06142688127972e-07
hsFCER1 50 55 0 logfc=0.342668907923322,adjpval=0.0110368879125121
hsFCER1 55 60 0 logfc=0.342668907923322,adjpval=0.0110368879125121
hsFCER1 60 65 3 logfc=1.00877080241631,adjpval=1.30076933145256e-14
hsFCER1 65 70 2 logfc=1.00160485031305,adjpval=0.000136521800869637
hsFCER1 70 75 1 logfc=0.744383849599987,adjpval=1.71531297011381e-08
hsFCER1 75 80 1 logfc=0.451428062606784,adjpval=0.000794771820690341
hsFCER1 80 85 0 logfc=0.856284818431932,adjpval=8.5131672038266e-11
hsFCER1 85 90 3 logfc=1.00507670353337,adjpval=0.000146915641506581
hsFCER1 90 95 0 logfc=1.09487514375614,adjpval=7.3724399953028e-17
hsFCER1 95 100 3 logfc=1.0332397151819,adjpval=1.83515179389266e-15
hsFCER1 100 105 0 logfc=0.5734404532207,adjpval=1.64679490443189e-05
hsFCER1 105 110 0 logfc=0.864861216159869,adjpval=5.0825978433504e-11
hsFCER1 110 115 4 logfc=-0.376230213926807,adjpval=0.00515593226282692
hsFCER1 115 120 3 logfc=-0.843299308568916,adjpval=1.4655944688104e-10
hsFCER1 120 125 0 logfc=-0.612435792108247,adjpval=5.38431299117676e-06
hsFCER1 125 130 0 logfc=-0.612838005662921,adjpval=3.61247757809387e-06
hsFCER1 130 135 0 logfc=-0.459848170015013,adjpval=0.000591956172912569
hsBCR 0 5 0 logfc=0.538402474691909,adjpval=6.16478162602895e-05
hsBCR 5 10 0 logfc=0.680273935489917,adjpval=2.97891400937195e-07
hsBCR 10 15 0 logfc=1.13751612800512,adjpval=6.74984438018784e-18
hsBCR 15 20 0 logfc=0.387112645290068,adjpval=0.00446729113941872
hsBCR 20 25 0 logfc=1.16633004524524,adjpval=5.55035083011372e-19
hsBCR 25 30 0 logfc=0.981776806990087,adjpval=7.35198000930509e-14
hsBCR 30 35 0 logfc=1.04175060201687,adjpval=5.81879410549163e-05
hsBCR 35 40 0 logfc=0.850965404682397,adjpval=0.00133388042758522
hsBCR 40 45 1 logfc=0.938033241498731,adjpval=1.02047921902576e-12
hsBCR 45 50 0 logfc=0.342668907923322,adjpval=0.0110368879125121
hsBCR 50 55 0 logfc=0.342668907923322,adjpval=0.0110368879125121
hsBCR 55 60 3 logfc=1.00507670353337,adjpval=0.000146915641506581
hsBCR 60 65 0 logfc=1.09487514375614,adjpval=7.3724399953028e-17
hsBCR 65 70 1 logfc=0.803408104514147,adjpval=8.04736903017311e-10
hsBCR 70 75 0 logfc=1.09943494996597,adjpval=3.12815430788712e-17
hsBCR 75 80 3 logfc=1.0332397151819,adjpval=1.83515179389266e-15
hsBCR 80 85 0 logfc=0.5734404532207,adjpval=1.64679490443189e-05
hsBCR 85 90 0 logfc=0.864861216159869,adjpval=5.0825978433504e-11
hsBCR 90 95 0 logfc=-0.284223640441052,adjpval=0.0376343346006526
hsBCR 95 100 4 logfc=-0.376230213926807,adjpval=0.00515593226282692
hsBCR 100 105 3 logfc=-0.843299308568916,adjpval=1.4655944688104e-10
hsBCR 105 110 0 logfc=-0.612838005662921,adjpval=3.61247757809387e-06
hsBCR 110 115 0 logfc=-0.459848170015013,adjpval=0.000591956172912569
hsTCR 0 5 0 logfc=0.680273935489917,adjpval=2.97891400937195e-07
hsTCR 5 10 0 logfc=1.13751612800512,adjpval=6.74984438018784e-18
hsTCR 10 15 0 logfc=0.402887145206696,adjpval=0.00285263103642407
hsTCR 15 20 0 logfc=0.467241241497008,adjpval=0.000553613576367628
hsTCR 20 25 0 logfc=0.592568113150898,adjpval=1.08482143984012e-05
hsTCR 25 30 0 logfc=0.387112645290068,adjpval=0.00446729113941872
hsTCR 30 35 0 logfc=0.903893464163183,adjpval=8.20200788825564e-12
hsTCR 35 40 0 logfc=1.16633004524524,adjpval=5.55035083011372e-19
hsTCR 40 45 1 logfc=0.700655236204622,adjpval=1.56470402288232e-07
hsTCR 45 50 0 logfc=1.04175060201687,adjpval=5.81879410549163e-05
hsTCR 50 55 1 logfc=0.938033241498731,adjpval=1.02047921902576e-12
hsTCR 55 60 0 logfc=0.342668907923322,adjpval=0.0110368879125121
hsTCR 60 65 0 logfc=0.342668907923322,adjpval=0.0110368879125121
hsTCR 65 70 0 logfc=0.804635122943212,adjpval=8.07717778098816e-10
hsTCR 70 75 2 logfc=1.00160485031305,adjpval=0.000136521800869637
hsTCR 75 80 1 logfc=0.744383849599987,adjpval=1.71531297011381e-08
hsTCR 80 85 1 logfc=0.451428062606784,adjpval=0.000794771820690341
hsTCR 85 90 3 logfc=1.00507670353337,adjpval=0.000146915641506581
hsTCR 90 95 0 logfc=1.09487514375614,adjpval=7.3724399953028e-17
hsTCR 95 100 1 logfc=0.803408104514147,adjpval=8.04736903017311e-10
hsTCR 100 105 0 logfc=1.09943494996597,adjpval=3.12815430788712e-17
hsTCR 105 110 1 logfc=1.23453677322762,adjpval=1.51188561550432e-06
hsTCR 110 115 0 logfc=0.913046948694116,adjpval=3.6369420895929e-12
hsTCR 115 120 3 logfc=1.0332397151819,adjpval=1.83515179389266e-15
hsTCR 120 125 0 logfc=0.864861216159869,adjpval=5.0825978433504e-11
hsTCR 125 130 4 logfc=-0.376230213926807,adjpval=0.00515593226282692
hsTCR 130 135 3 logfc=-0.843299308568916,adjpval=1.4655944688104e-10
hsTCR 135 140 0 logfc=-0.612838005662921,adjpval=3.61247757809387e-06
hsTCR 140 145 0 logfc=-0.459848170015013,adjpval=0.000591956172912569
hsIL6 0 5 0 logfc=0.462962746501606,adjpval=0.000531028846035637
hsIL6 5 10 0 logfc=0.734964487059889,adjpval=0.0216751941431391
hsIL6 10 15 0 logfc=0.387112645290068,adjpval=0.00446729113941872
hsIL6 15 20 0 logfc=1.16633004524524,adjpval=5.55035083011372e-19
hsIL6 20 25 2 logfc=0.828115259569088,adjpval=2.68289326339583e-10
hsIL6 25 30 1 logfc=0.307891921367117,adjpval=0.0236907401943006
hsIL6 30 35 0 logfc=1.04175060201687,adjpval=5.81879410549163e-05
hsIL6 35 40 1 logfc=0.938033241498731,adjpval=1.02047921902576e-12
hsIL6 40 45 3 logfc=1.0332397151819,adjpval=1.83515179389266e-15
hsIL6 45 50 2 logfc=0.709391004114945,adjpval=0.00737231336083581
hsIL6 50 55 4 logfc=-0.376230213926807,adjpval=0.00515593226282692
hsIL6 55 60 1 logfc=-0.322848360107716,adjpval=0.0178363566155319
hsIL6 60 65 3 logfc=-0.843299308568916,adjpval=1.4655944688104e-10
hsIL6 65 70 0 logfc=-0.459848170015013,adjpval=0.000591956172912569
